gregobase_id	Hudelmaier code	NR02 source letter	NR02 source page
17299	0211N1A3	H	19
	0211N1R1	HPS	
	0211N1R2	HPS	
	0211N1R3	HPS	
17300	0211N2A1	AM	278
17599	0211N2A2	AM / HPS	696
17600	0211N2A3	H / HPS	308
17604	0211N2R1	H / HPS	297
	0211N2R2	HPS	
17605	0211N2R3	H / HPS	26
17601	0211N3A1	H / HPS	117
17602	0211N3A2	H / HPS	443
17603	0211N3A3	H / HPS	281
	0211N3R1	HPS	
	0211N3R2	HPS	
17301	0212H	AR	638
17309	0319I	LR	301
17310	0319H	LR	302
17311	0319N1A1	LR	302
17312	0319N1A2	LR	303
17313	0319N1A3	LR	303
17314	0319N1R1	LR	305
17321	0319N1R2	LR	305
17322	0319N1R3	LR	306
17315	0319N2A1	LR	304
17316	0319N2A2	LR	304
17317	0319N2A3	LR	304
17323	0319N2R1	LR	311
17324	0319N2R2	LR	312
17325	0319N2R3	LR	312
17318	0319N3A1	LR	308
17319	0319N3A2	LR	308
17320	0319N3A3	LR	309
17326	0319N3R1	LR	315
17327	0319N3R2	LR	316
17335	0324I	H	312
17336	0324H	AR	659
17606	0324N1A1	H / HPS	21
17607	0324N1A2	H / HPS	101
17608	0324N1A3	AM / HPS	611
17609	0324N1R1	H / HPS	367
17610	0324N1R2	H / HPS	378
17611	0324N1R3	H / HPS	373
	0324N2A1	HPS	
17612	0324N2A2	AM / HPS	578,2
	0324N2A3	HPS	
17613	0324N2R1	H / HPS	28
17614	0324N2R2	H / HPS	372+208
	0324N2R3	HPS	
17337	0324N3A1	H	38
17338	0324N3A2	AM	866
	0324N3A3	HPS	
17339	0324N3R1	H	16
17340	0324N3R2	H	118
17342	0325I	KA	58v
